,y_test,prediction
4931,1426.1436,2680.115923524778
4148,1201.769,2519.8403757234687
7423,1836.2764,2258.1899817364038
4836,2410.8618,2299.363790247617
944,1549.9824,3068.155180805484
154,3169.208,3595.8016381908174
7230,2036.6822,2959.4763095667577
3472,824.9262,1978.3118142232386
2294,378.1744,1430.5414583921056
2588,1573.9512,1784.9982438458342
2087,2474.7786,1869.974488008417
7318,101.8674,270.0128107251444
6126,894.8352,1611.0418399913713
4164,1491.392,2397.819734358207
6572,1390.1904,2031.8886430374666
693,1707.777,1449.7491067858284
1270,1853.5872,2476.530575911537
5893,2404.8696,2808.60689193185
1624,5528.1374,3847.3907730416704
5223,12117.56,5357.532843491716
2972,4767.128,3602.817727421116
6814,185.7582,1834.5060298536187
1555,187.0898,1214.0970634251253
8275,772.328,1547.5399416473886
3760,1324.2762,2113.9120975393253
3161,2036.6822,1573.951277544915
5225,6574.775,5549.445158557466
1570,5285.1204,4099.988058460223
4285,773.6596,863.7729580765434
1835,6615.3888,3823.644063256953
4266,1022.6688,1438.9514445025802
2740,2797.6916,4075.186939855712
4312,3099.9648,2682.9598981589243
2379,1720.4272,3353.5005948246967
821,3338.3212,2333.5814603959166
5862,1061.951,1451.5010757116374
5108,4567.388,4037.662617862818
7149,6474.2392,5376.935207175256
2060,1145.176,1900.1273978446366
1571,2804.3496,1719.9503523181431
3879,945.436,1265.9195611399207
1889,1255.033,2290.15598265037
528,5206.556,3703.5625912144383
7060,5842.395,3778.7275737052287
5845,3379.6008,2979.6709683708045
5860,477.3786,697.604593930671
4861,113.8518,-201.51256728910198
1824,992.042,1301.764106793456
1098,5259.82,4153.3506679185675
5530,1704.448,1530.1698321484348
1921,117.8466,95.38718969776778
8517,3608.636,2839.2102785756683
4908,729.051,597.1064374626303
2006,2422.1804,2407.415877649348
98,4363.6532,3789.797953087284
7140,753.0198,737.3623462648079
1003,713.0718,508.9956517814791
3162,683.1108,617.2711230710762
4376,195.7452,-196.59373289351106
3930,3159.8868,3602.759497786057
5973,1348.245,1457.8651105518509
4276,1803.6522,1255.4239997417612
6789,5932.278,2567.226294135242
8116,71.9064,-969.0961539692646
2030,2270.378,1703.116298496181
3484,303.6048,534.238022299377
233,2603.278,2403.208330769086
4511,5773.1518,3167.0830085037014
852,2691.8294,3250.158208001424
1364,476.047,473.30904065171654
257,193.082,1632.6478901823161
5809,2460.7968,1621.39225760159
3810,121.8414,110.53938153572403
379,4274.436,3400.8849371029114
7273,412.796,-125.7605300784519
6787,4625.9784,4066.3848390425933
2645,3006.087,2220.5891320679043
1589,4950.8888,3557.6531216747367
5198,529.311,2411.9866845396946
3909,2184.4898,2089.1900905111333
8236,510.0028,2125.2258340016774
888,2620.5888,2507.67236921489
5175,981.3892,698.3506941794776
1580,319.584,594.3559025541917
4109,2297.01,2448.6716904674404
4238,1018.674,611.2044397296768
140,1402.1748,2411.4370505336274
6770,3942.8676,3028.100285079674
4098,1182.4608,3169.351777376642
4394,937.4464,3618.637751116277
543,1398.18,2149.265386858333
3412,1168.479,917.742085152448
3043,1569.9564,1405.221227949524
6696,6474.2392,5389.597697108336
6565,296.9468,548.283251987214
2563,2127.8968,3400.994875446536
4824,5683.2688,4054.5688046210894
6335,2616.594,2990.8269591607336
6164,4866.998,2310.673732370192
6095,316.9208,596.7387585218535
4972,355.5372,1500.3440093641634
3535,2994.7684,3350.7871377489037
7490,607.2096,564.8175328278005
49,780.3176,1266.074687240763
7475,1685.8056,2399.70642328157
380,5375.0034,5189.2439706378145
7192,1267.0174,1807.7546082094827
4773,3131.9232,3097.402075099853
4088,1629.8784,1340.04722068407
2849,6196.6006,3883.446663312758
6750,3094.6384,3453.336189229979
2488,3142.576,3161.721944348088
3812,2972.1312,2564.0687496255114
916,895.501,971.8069292282839
2539,5259.82,3276.370572709332
541,231.6984,1245.3952225461042
7275,2922.1962,2013.663769252522
6192,922.7988,2527.8897320227607
5373,3819.0288,2613.9037902567243
1657,75.9012,340.561521401632
273,5829.7448,4170.917978004362
7086,392.822,1257.6893011610177
2337,61.2536,-728.4543363694099
2607,3542.056,3037.5652929561766
3299,5396.9748,4122.506809155292
2631,1510.0344,4079.5798952860177
3776,4349.0056,3139.4708977779383
4153,225.7062,1702.2431932996742
4557,2162.5184,1142.6432827783021
5378,1065.28,3386.621835325463
6000,7393.0432,4999.739085019166
7564,802.9548,859.6016554430126
1035,2190.482,2480.968816642268
8440,2960.1468,2441.6629852924975
6539,3281.0624,3807.5668389632106
3434,3778.415,2515.5002353340283
5233,3751.783,1695.3217534566304
4061,428.7752,-117.60393811880226
44,373.5138,2042.0538412493913
5022,120.5098,51.476151205993574
5085,2916.204,3888.6760334938567
3007,3439.5228,2782.47805627114
7336,1830.95,2329.0830530594512
2434,2006.7212,1489.4403866636342
2580,3629.2758,2577.6701700382864
4559,351.5424,952.5479790860927
5615,2375.5744,2340.512070345234
7019,2466.789,2234.360929453582
4574,2303.668,1849.0786317035002
4589,1543.3244,2171.9739416118337
7801,2432.8332,2621.1093206968785
8255,2696.49,1610.3604220906377
7646,790.9704,645.932330243547
6132,5438.9202,3781.035381134349
5663,1174.4712,1537.115133661599
3637,1166.4816,814.4202831280818
2966,143.8128,470.1053435467204
6577,761.6752,1722.3662086104944
6261,4288.4178,4969.8409039424705
4083,1216.4166,4133.05040500858
4415,5219.872,2977.729625455
2643,5976.2208,3644.445429663668
1132,1901.5248,2372.5851761833237
5686,856.8846,1492.129058094429
7491,3175.866,2856.437548738318
938,89.2172,-362.4895288007949
7453,509.337,1051.5628603287435
6510,3251.1014,2574.5478326153525
234,605.878,706.2037043603351
722,1780.3492,2069.4217061884865
187,778.986,2273.961310892724
3526,473.3838,1603.5799738581932
4699,6831.108,3712.846375960007
2793,1837.608,1212.6593581855855
6198,3214.4824,3007.606797053851
2650,2524.0478,2412.494917417251
7761,1403.5064,1365.3658010036745
3112,886.8456,1566.3724375019701
635,5087.3778,4523.946432961064
7677,2045.3376,4019.2724021559347
4413,3900.9222,2405.3820993225236
4937,3658.571,1589.3342528847177
5645,2077.296,2589.8228208722767
1034,75.9012,-1140.6483740320323
3326,3478.805,2873.9048624941406
1103,5350.3688,2564.529795874345
6440,1113.2176,951.3921238697941
2578,2648.5524,2362.0625746094274
394,3259.7568,2998.033573836588
4994,2292.3494,3305.548739138814
787,129.1652,-833.8572491043192
2152,2348.9424,2038.6430183822158
5105,1230.3984,1724.3395282347192
3379,727.0536,953.8777716372198
4800,488.6972,1856.2161285715365
5276,2055.3246,1597.777295156749
6608,691.1004,1845.9176514242347
7114,3174.5344,3158.5114461341627
6423,569.259,2650.9807689795402
5840,1446.1176,1634.4590190340089
3766,5267.8096,3626.0396715222537
5575,885.514,1496.9239844746057
3779,3563.3616,2064.8031886017275
5977,8474.3024,5066.806761029834
7052,3675.216,3585.7133387547847
1082,1584.604,1700.8079017951375
7917,743.0328,1390.7777790114662
5836,3271.7412,3689.983498556979
3976,1592.5936,2499.4855236942235
1783,2364.9216,2292.330466195218
1414,3420.8804,5126.788929003458
3724,5000.8238,4152.208790517021
5605,1607.907,3322.7943686951176
2509,2960.1468,2303.9198753453543
2067,1518.024,2348.0702133326986
2774,1419.4856,1750.2867551068223
6630,173.108,-494.87141820792976
1817,4410.2592,3011.953705183231
3805,2182.4924,3091.4651218688705
2081,392.822,1208.9774690447853
7551,3229.7958,4163.191702857224
5173,2302.3364,2891.4721578515523
3714,5299.768,4121.866915489281
692,4974.1918,4008.6053973286175
1235,3235.788,2579.564307519456
5770,2388.2246,2325.9235907993316
642,3246.4408,2319.319747229613
7419,2444.8176,2171.788006349131
3315,2956.152,3017.605407966065
