,y_test,prediction
4931,1426.1436,2684.0
4148,1201.769,2530.0
7423,1836.2764,2254.0
4836,2410.8618,2306.0
944,1549.9824,3088.0
154,3169.208,3604.0
7230,2036.6822,2968.0
3472,824.9262,1980.0
2294,378.1744,1428.0
2588,1573.9512,1796.0
2087,2474.7786,1878.0
7318,101.8674,276.0
6126,894.8352,1612.0
4164,1491.392,2392.0
6572,1390.1904,2028.0
693,1707.777,1438.0
1270,1853.5872,2474.0
5893,2404.8696,2804.0
1624,5528.1374,3856.0
5223,12117.56,5360.0
2972,4767.128,3608.0
6814,185.7582,1812.0
1555,187.0898,1200.0
8275,772.328,1548.0
3760,1324.2762,2116.0
3161,2036.6822,1576.0
5225,6574.775,5568.0
1570,5285.1204,4104.0
4285,773.6596,852.0
1835,6615.3888,3830.0
4266,1022.6688,1424.0
2740,2797.6916,4076.0
4312,3099.9648,2684.0
2379,1720.4272,3372.0
821,3338.3212,2316.0
5862,1061.951,1440.0
5108,4567.388,4050.0
7149,6474.2392,5392.0
2060,1145.176,1908.0
1571,2804.3496,1736.0
3879,945.436,1260.0
1889,1255.033,2292.0
528,5206.556,3708.0
7060,5842.395,3784.0
5845,3379.6008,2972.0
5860,477.3786,680.0
4861,113.8518,-220.0
1824,992.042,1298.0
1098,5259.82,4168.0
5530,1704.448,1528.0
1921,117.8466,80.0
8517,3608.636,2856.0
4908,729.051,590.0
2006,2422.1804,2408.0
98,4363.6532,3792.0
7140,753.0198,738.0
1003,713.0718,516.0
3162,683.1108,628.0
4376,195.7452,-226.0
3930,3159.8868,3592.0
5973,1348.245,1476.0
4276,1803.6522,1256.0
6789,5932.278,2584.0
8116,71.9064,-972.0
2030,2270.378,1710.0
3484,303.6048,516.0
233,2603.278,2396.0
4511,5773.1518,3148.0
852,2691.8294,3248.0
1364,476.047,470.0
257,193.082,1648.0
5809,2460.7968,1642.0
3810,121.8414,88.0
379,4274.436,3414.0
7273,412.796,-144.0
6787,4625.9784,4072.0
2645,3006.087,2224.0
1589,4950.8888,3560.0
5198,529.311,2422.0
3909,2184.4898,2096.0
8236,510.0028,2096.0
888,2620.5888,2516.0
5175,981.3892,692.0
1580,319.584,606.0
4109,2297.01,2452.0
4238,1018.674,608.0
140,1402.1748,2414.0
6770,3942.8676,3008.0
4098,1182.4608,3164.0
4394,937.4464,3638.0
543,1398.18,2168.0
3412,1168.479,912.0
3043,1569.9564,1404.0
6696,6474.2392,5390.0
6565,296.9468,540.0
2563,2127.8968,3426.0
4824,5683.2688,4068.0
6335,2616.594,3020.0
6164,4866.998,2312.0
6095,316.9208,582.0
4972,355.5372,1516.0
3535,2994.7684,3328.0
7490,607.2096,572.0
49,780.3176,1256.0
7475,1685.8056,2400.0
380,5375.0034,5192.0
7192,1267.0174,1820.0
4773,3131.9232,3088.0
4088,1629.8784,1352.0
2849,6196.6006,3896.0
6750,3094.6384,3448.0
2488,3142.576,3170.0
3812,2972.1312,2566.0
916,895.501,948.0
2539,5259.82,3294.0
541,231.6984,1240.0
7275,2922.1962,2008.0
6192,922.7988,2510.0
5373,3819.0288,2612.0
1657,75.9012,344.0
273,5829.7448,4172.0
7086,392.822,1232.0
2337,61.2536,-744.0
2607,3542.056,3022.0
3299,5396.9748,4108.0
2631,1510.0344,4088.0
3776,4349.0056,3144.0
4153,225.7062,1674.0
4557,2162.5184,1134.0
5378,1065.28,3388.0
6000,7393.0432,5012.0
7564,802.9548,866.0
1035,2190.482,2492.0
8440,2960.1468,2440.0
6539,3281.0624,3808.0
3434,3778.415,2518.0
5233,3751.783,1692.0
4061,428.7752,-136.0
44,373.5138,2032.0
5022,120.5098,30.0
5085,2916.204,3902.0
3007,3439.5228,2772.0
7336,1830.95,2320.0
2434,2006.7212,1500.0
2580,3629.2758,2580.0
4559,351.5424,944.0
5615,2375.5744,2356.0
7019,2466.789,2202.0
4574,2303.668,1848.0
4589,1543.3244,2176.0
7801,2432.8332,2620.0
8255,2696.49,1596.0
7646,790.9704,652.0
6132,5438.9202,3792.0
5663,1174.4712,1544.0
3637,1166.4816,804.0
2966,143.8128,436.0
6577,761.6752,1718.0
6261,4288.4178,4984.0
4083,1216.4166,4136.0
4415,5219.872,2964.0
2643,5976.2208,3640.0
1132,1901.5248,2382.0
5686,856.8846,1516.0
7491,3175.866,2844.0
938,89.2172,-402.0
7453,509.337,1058.0
6510,3251.1014,2580.0
234,605.878,710.0
722,1780.3492,2076.0
187,778.986,2268.0
3526,473.3838,1604.0
4699,6831.108,3710.0
2793,1837.608,1232.0
6198,3214.4824,3020.0
2650,2524.0478,2396.0
7761,1403.5064,1376.0
3112,886.8456,1554.0
635,5087.3778,4530.0
7677,2045.3376,4044.0
4413,3900.9222,2410.0
4937,3658.571,1598.0
5645,2077.296,2598.0
1034,75.9012,-1154.0
3326,3478.805,2892.0
1103,5350.3688,2560.0
6440,1113.2176,958.0
2578,2648.5524,2358.0
394,3259.7568,3000.0
4994,2292.3494,3300.0
787,129.1652,-840.0
2152,2348.9424,2038.0
5105,1230.3984,1734.0
3379,727.0536,952.0
4800,488.6972,1838.0
5276,2055.3246,1606.0
6608,691.1004,1864.0
7114,3174.5344,3168.0
6423,569.259,2650.0
5840,1446.1176,1618.0
3766,5267.8096,3628.0
5575,885.514,1510.0
3779,3563.3616,2052.0
5977,8474.3024,5088.0
7052,3675.216,3596.0
1082,1584.604,1694.0
7917,743.0328,1400.0
5836,3271.7412,3706.0
3976,1592.5936,2504.0
1783,2364.9216,2308.0
1414,3420.8804,5132.0
3724,5000.8238,4168.0
5605,1607.907,3334.0
2509,2960.1468,2314.0
2067,1518.024,2348.0
2774,1419.4856,1748.0
6630,173.108,-522.0
1817,4410.2592,3018.0
3805,2182.4924,3088.0
2081,392.822,1188.0
7551,3229.7958,4180.0
5173,2302.3364,2902.0
3714,5299.768,4126.0
692,4974.1918,4026.0
1235,3235.788,2586.0
5770,2388.2246,2308.0
642,3246.4408,2328.0
7419,2444.8176,2176.0
3315,2956.152,3008.0
